SITE_ID	VISIT_NO	DATE_PROFILE 1	MONTH	DAY	SAMPLE_TYPE	DEPTH	METALIMNION	TEMP_FIELD	DO_FIELD	PH_FIELD	COND_FIELD
NLA12_MS-116	1	2012	6	5	PROF						
NLA12_MS-R03	1	2012	6	6	PROF	4		16.74	0.31	6.4	
NLA12_MS-R03	1	2012	6	6	PROF						
NLA12_MS-R03	1	2012	6	6	PROF	3		21.69	0.51	6.17	
NLA12_MS-R03	1	2012	6	6	PROF	0		28.16	11.31	9.41	
NLA12_MS-R03	1	2012	6	6	CALIB						
NLA12_MS-R03	1	2012	6	6	PROF	0		28	11.79	9.23	
NLA12_MS-R03	1	2012	6	6	PROF	4.5		15.41	0.24	6.66	
NLA12_MS-R03	1	2012	6	6	PROF	1	T	26.45	7.03	7.08	
NLA12_MS-R03	1	2012	6	6	PROF	2	B	24.47	1.28	6.13	
NLA12_MS-119	1	2012	6	7	PROF						
NLA12_MS-119	1	2012	6	7	CALIB						
NLA12_MS-119	1	2012	6	7	PROF	4		19.1	0.59	6.6	
NLA12_MS-119	1	2012	6	7	PROF	0		28.68	10.36	9.03	
NLA12_MS-119	1	2012	6	7	PROF	0		28.64	9.89	8.89	
NLA12_MS-119	1	2012	6	7	PROF	1		28.16	10.7	8.06	
NLA12_MS-119	1	2012	6	7	PROF	5.7		16.24	0.26	6.61	
NLA12_MS-119	1	2012	6	7	PROF	3	T	23.71	1.74	6.17	
NLA12_MS-119	1	2012	6	7	PROF	5	B	16.66	0.33	6.64	
NLA12_MS-119	1	2012	6	7	PROF	2		27.41	8.26	7.28	
NLA12_MS-119	1	2012	6	7	PROF			28.68		9.03	
NLA12_VT-101	1	2012	6	18	PROF	12		7.28	7.03	5.85	49
NLA12_VT-101	1	2012	6	18	PROF	1		24.14	8.37	7.27	49
NLA12_VT-101	1	2012	6	18	PROF	4		16.12	10.11	7.14	46
NLA12_VT-101	1	2012	6	18	PROF	8		8.75	7.7	6.08	49
NLA12_VT-101	1	2012	6	18	PROF	0.2		24.23	8.41	7.41	49
NLA12_VT-101	1	2012	6	18	PROF	7		9.17	7.65	6.17	48
NLA12_VT-101	1	2012	6	18	PROF	3		19.79	9.16	7.01	48
NLA12_VT-101	1	2012	6	18	PROF	2		22.19	8.3	7.13	49
NLA12_VT-101	1	2012	6	18	PROF						
NLA12_VT-101	1	2012	6	18	PROF	9		8.28	8.11	6.1	49
NLA12_VT-101	1	2012	6	18	PROF	6		10.41	7.47	6.32	48
NLA12_VT-101	1	2012	6	18	PROF	5		12.44	8.09	6.56	47
NLA12_VT-101	1	2012	6	18	PROF	11		7.59	8.15	5.97	48
NLA12_VT-101	1	2012	6	18	PROF	15		7.03	5.66	5.56	49
NLA12_VT-101	1	2012	6	18	PROF	10		7.96	8.04	5.91	48
NLA12_VT-101	1	2012	6	18	PROF	13		7.12	6.5	5.84	49
NLA12_VT-101	1	2012	6	18	PROF	1		24.07	7.96	6.1	50
NLA12_VT-101	1	2012	6	18	PROF	14		7.04	5.79	5.63	49
NLA12_TX-141	1	2012	6	18	CALIB						
NLA12_TX-141	1	2012	6	18	PROF	4		24.8	0.5	6.3	
NLA12_TX-141	1	2012	6	18	PROF	7		15.3	0.2	6.7	
NLA12_TX-141	1	2012	6	18	PROF						
NLA12_TX-141	1	2012	6	18	PROF	0.5		30.2	8	6.4	
NLA12_TX-141	1	2012	6	18	PROF	6		16.6	0.2	6.7	
NLA12_TX-141	1	2012	6	18	PROF	0		30.2	7.7	8.5	
NLA12_TX-141	1	2012	6	18	PROF	2		30.2	7.8	8.4	
NLA12_TX-141	1	2012	6	18	PROF	5		19	0.3	6.6	
NLA12_TX-141	1	2012	6	18	PROF	8.7		14.1	0.2	6.8	
NLA12_TX-141	1	2012	6	18	PROF	8	B	14.5	0.2	6.8	
NLA12_TX-141	1	2012	6	18	PROF	1		30.2	7.8	8.4	
NLA12_TX-141	1	2012	6	18	PROF	3	T	28.5	5.3	6.9	
NLA12_TX-169	1	2012	6	19	PROF						
NLA12_TX-169	1	2012	6	19	PROF	3		30.2	6.6	3.2	
NLA12_TX-169	1	2012	6	19	PROF	0		30.1	6.6	3.3	
NLA12_TX-169	1	2012	6	19	CALIB						
NLA12_TX-169	1	2012	6	19	PROF	2		30.1	6.5	3.2	
NLA12_TX-169	1	2012	6	19	PROF	1		30.2	6.6	3.3	
NLA12_TX-169	1	2012	6	19	PROF	3.5		30.2	6.6	3.2	
NLA12_TX-169	1	2012	6	19	PROF	0.5		30.2	6.8	3.3	
NLA12_OR-133	1	2012	6	20	PROF	0.13		17.5	2.5	6.1	28
NLA12_OR-133	1	2012	6	20	PROF	1.5		17	0.6	6	30
NLA12_OR-133	1	2012	6	20	CALIB						
NLA12_OR-133	1	2012	6	20	PROF						
NLA12_OR-133	1	2012	6	20	PROF	2.4		16.2	0.1	5.9	37
NLA12_OR-133	1	2012	6	20	PROF	1		17.3	2.5	6.1	28
NLA12_OR-133	1	2012	6	20	PROF	2		16.4	0.2	6	34
NLA12_OR-133	1	2012	6	20	PROF	0.5		17.4	2.4	6.1	28
NLA12_OR-131	1	2012	6	21	CALIB						
NLA12_OR-131	1	2012	6	21	PROF	1.5	B	17.4	0.9	6.9	254
NLA12_OR-131	1	2012	6	21	PROF	0.5		19	4	7.2	224
NLA12_OR-131	1	2012	6	21	PROF	0.13		20.3	5.2	7.3	225
NLA12_OR-131	1	2012	6	21	PROF	1	T	18.7	3.9	7.2	225
NLA12_OR-131	1	2012	6	21	PROF						
NLA12_OR-131	1	2012	6	21	PROF	0.13		20.5	4.9	7.4	225
NLA12_TX-158	1	2012	6	24	PROF	0		29.7	5.1	8.1	1328
NLA12_TX-158	1	2012	6	24	CALIB						
NLA12_TX-158	1	2012	6	24	PROF						
NLA12_TX-158	1	2012	6	24	PROF	0		29.7	5.1	8.1	1327
NLA12_TX-158	1	2012	6	24	PROF	0.7		29.7	5.2	8.1	1328
NLA12_TX-158	1	2012	6	24	PROF	0.5		29.7	5.1	8.1	1328
NLA12_ID-107	1	2012	6	25	PROF	2.51		19.83	7.84	7.75	127
NLA12_ID-107	1	2012	6	25	CALIB						
NLA12_ID-107	1	2012	6	25	PROF	3.45		19.28	7.51	7.65	125
NLA12_ID-107	1	2012	6	25	PROF	2.52		19.82	7.84	7.75	127
NLA12_ID-107	1	2012	6	25	PROF	3.79		19.17	7.02	7.59	126
NLA12_ID-107	1	2012	6	25	PROF	1.52		19.85	7.84	7.8	126
NLA12_ID-107	1	2012	6	25	PROF						
NLA12_VT-102	1	2012	6	26	PROF	11		8.49	0.01	7.07	163.2
NLA12_VT-102	1	2012	6	26	PROF	7		12.57	3.35	7.16	145.7
NLA12_VT-102	1	2012	6	26	PROF	10		9.01	0.24	7	152.3
NLA12_VT-102	1	2012	6	26	PROF	8		10.46	2.18	7.08	148.7
NLA12_VT-102	1	2012	6	26	PROF	11.5		8.32	0	7.12	168.2
NLA12_VT-102	1	2012	6	26	PROF	4		21.34	8.18	8.04	146.3
NLA12_VT-102	1	2012	6	26	PROF	9		9.58	1.18	7.02	149.2
NLA12_VT-102	1	2012	6	26	PROF	1		22.25	8.41	8.41	144.7
NLA12_VT-102	1	2012	6	26	PROF	6		14.44	4.2	7.23	144.5
NLA12_VT-102	1	2012	6	26	PROF	0.2		22.14	8.39	8.39	143.1
NLA12_VT-102	1	2012	6	26	PROF	4		21.62	8.26	8.15	146.3
NLA12_VT-102	1	2012	6	26	CALIB						
NLA12_VT-102	1	2012	6	26	PROF						
NLA12_VT-102	1	2012	6	26	PROF	5		17.13	6.12	7.48	142
NLA12_VT-102	1	2012	6	26	PROF	2		22.27	8.41	8.37	143.5
NLA12_VT-102	1	2012	6	26	PROF	0.2		22.27	8.38	8.37	143.2
NLA12_VT-102	1	2012	6	26	PROF	3		22.26	8.42	8.35	143.9
NLA12_OR-101	1	2012	6	26	PROF						
NLA12_OR-101	1	2012	6	26	PROF	0		17.4	8.12	8.73	544
NLA12_OR-101	1	2012	6	26	PROF	3		16.25	0.44	8.42	544
NLA12_OR-101	1	2012	6	26	PROF	2		16.71	8.66	8.72	542
NLA12_OR-101	1	2012	6	26	CALIB						
NLA12_OR-101	1	2012	6	26	PROF	0.5		16.95	8.71	8.72	542
NLA12_OR-101	1	2012	6	26	PROF	3.5		16.16	0.09	8.27	545
NLA12_OR-101	1	2012	6	26	PROF	0		17.95	8.58	8.71	543
NLA12_OR-101	1	2012	6	26	PROF	1		16.8	8.68	8.72	542
NLA12_TX-135	1	2012	6	26	PROF						
NLA12_TX-135	1	2012	6	26	PROF	1		29.9	5.5	9	5760
NLA12_TX-135	1	2012	6	26	PROF	0		31.3	5.6	9	5760
NLA12_TX-135	1	2012	6	26	CALIB						
NLA12_TX-135	1	2012	6	26	PROF	0.5		30.8	5.5	9	5740
NLA12_TX-135	1	2012	6	26	PROF	0		31	5.3	9	5720
NLA12_TX-135	1	2012	6	26	PROF			31.3		9	5760
NLA12_WI-101	1	2012	6	26	PROF	2		24.6	8.7	8.6	511
NLA12_WI-101	1	2012	6	26	PROF	1		24.8	9.4	8.6	510
NLA12_WI-101	1	2012	6	26	PROF	5		24.4	6.1	8.3	516
NLA12_WI-101	1	2012	6	26	PROF	0		24.8	9.4	8.5	1510
NLA12_WI-101	1	2012	6	26	PROF	6		24.3	4.3	8.2	519
NLA12_WI-101	1	2012	6	26	PROF	8		23.9	1.2	7.8	524
NLA12_WI-101	1	2012	6	26	PROF						
NLA12_WI-101	1	2012	6	26	PROF	9		23.8	0.6	7.7	527
NLA12_WI-101	1	2012	6	26	PROF	4		24.5	7.5	8.4	513
NLA12_WI-101	1	2012	6	26	CALIB						
NLA12_WI-101	1	2012	6	26	PROF	3		24.5	8	8.5	513
NLA12_WI-101	1	2012	6	26	PROF	7		24	3	8	521
					PROF						
					PROF	0.2		22.83	6.98	7.8	70.8
					PROF	0.5		22.83	7.07	7.83	70.8
					PROF	1		22.54	7.48	7.97	69.8
					PROF	1.5		21.32	8.14	8.4	67.9
					PROF	0.2		22.88	6.97	7.81	70.8
NLA12_ID-151	1	2012	6	27	PROF	2.66		16.91	6.89	10.14	69
NLA12_ID-151	1	2012	6	27	PROF						
NLA12_ID-151	1	2012	6	27	PROF			20.72		10.69	123
NLA12_ID-151	1	2012	6	27	CALIB						
NLA12_ID-151	1	2012	6	27	PROF	0.05		20.72	11.84	10.69	111
NLA12_ID-151	1	2012	6	27	PROF	0.06		20.88	11.96	10.67	116
NLA12_ID-151	1	2012	6	27	PROF	2		17.35	7.02	10.1	69
NLA12_ID-151	1	2012	6	27	PROF	0.99		17.75	8.68	10.23	74
NLA12_TX-110	1	2012	6	28	PROF	3	T	28.5	8.7	8.4	344
NLA12_TX-110	1	2012	6	28	PROF	6		26.5	1.5	7.6	363
NLA12_TX-110	1	2012	6	28	PROF						
NLA12_TX-110	1	2012	6	28	CALIB						
NLA12_TX-110	1	2012	6	28	PROF	0		30.3	8.8	8.8	327
NLA12_TX-110	1	2012	6	28	PROF	7		26.4	1.2	7.6	364
NLA12_TX-110	1	2012	6	28	PROF	2		30.4	9	8.8	327
NLA12_TX-110	1	2012	6	28	PROF			30.3		8.8	326
NLA12_TX-110	1	2012	6	28	PROF	9		26.2	0.7	7.5	367
NLA12_TX-110	1	2012	6	28	PROF	10.5		26.1	0.6	7.5	371
NLA12_TX-110	1	2012	6	28	PROF	4		27.4	5.6	7.9	350
NLA12_TX-110	1	2012	6	28	PROF	1		30.4	8.9	8.8	326
NLA12_TX-110	1	2012	6	28	PROF	5	B	26.6	3.3	7.7	356
NLA12_TX-110	1	2012	6	28	PROF	0		30.3	9	8.8	326
NLA12_TX-110	1	2012	6	28	PROF	8		26.3	0.8	7.5	374
					PROF						
					PROF	0.2		18.54	7.19	5.98	13.7
					PROF	1		17.83	7.17	5.92	13.5
					PROF	2		16.8	7.11	5.83	13.9
					PROF	3		11.84	7.32	5.52	15
					PROF	4		9.04	5.54	5.38	15
					PROF	5		7.64	2.67	5.26	15.4
					PROF	6		7.03	0.26	5.36	16.1
					PROF	0.2		18.79	7.06	5.9	13.6
NLA12_WI-102	1	2012	6	27	PROF	7		21.9	10.8	8.3	480
NLA12_WI-102	1	2012	6	27	PROF	5		23.8	11.3	8.4	476
NLA12_WI-102	1	2012	6	27	PROF	11	B	10.4	10	7.8	501
NLA12_WI-102	1	2012	6	27	PROF	9		13.6	11.2	8	498
NLA12_WI-102	1	2012	6	27	PROF	8		16.2	11.2	8.2	496
NLA12_WI-102	1	2012	6	27	PROF						
NLA12_WI-102	1	2012	6	27	PROF	6	T	23.8	11.4	8.4	476
NLA12_WI-102	1	2012	6	27	PROF	10		11.8	10.5	7.9	500
NLA12_WI-102	1	2012	6	27	PROF	3		24	11.3	8.4	475
NLA12_WI-102	1	2012	6	27	PROF	1		24	11.3	8.4	475
NLA12_WI-102	1	2012	6	27	PROF	19		7.9	0.4	7.3	511
NLA12_WI-102	1	2012	6	27	PROF	15		8.5	4.3	7.5	505
NLA12_WI-102	1	2012	6	27	PROF	14		8.9	5.3	7.5	504
NLA12_WI-102	1	2012	6	27	PROF	2		24	11.3	8.4	475
NLA12_WI-102	1	2012	6	27	PROF	0		24	11.4	8.4	474
NLA12_WI-102	1	2012	6	27	PROF	4		24	11.3	8.5	476
NLA12_WI-102	1	2012	6	27	PROF	12		9.7	7.6	7.7	502
NLA12_WI-102	1	2012	6	27	PROF	18		8	0.7	7.3	509
NLA12_WI-102	1	2012	6	27	PROF	13		9.1	6.3	7.6	504
NLA12_WI-102	1	2012	6	27	PROF	17		8.2	1.8	7.3	508
NLA12_WI-102	1	2012	6	27	PROF	19.6		7.8	0.4	7.3	512
NLA12_WI-102	1	2012	6	27	PROF	16		8.3	2.6	7.4	507
NLA12_WI-102	1	2012	6	27	CALIB						
NLA12_ID-109	1	2012	6	27	PROF	6		17.59	8.78	8.7	418
NLA12_ID-109	1	2012	6	27	PROF	2		17.79	9.47	8.82	421
NLA12_ID-109	1	2012	6	27	PROF	13		17.51	8.51	8.67	418
NLA12_ID-109	1	2012	6	27	PROF	8		17.56	8.62	8.68	418
NLA12_ID-109	1	2012	6	27	PROF	1.54		17.79	9.43	8.77	421
NLA12_ID-109	1	2012	6	27	PROF	4		17.71	9.03	8.71	420
NLA12_ID-109	1	2012	6	27	PROF	10		17.54	8.63	8.69	418
NLA12_ID-109	1	2012	6	27	PROF	7		17.58	8.69	8.69	418
NLA12_ID-109	1	2012	6	27	CALIB						
NLA12_ID-109	1	2012	6	27	PROF						
NLA12_ID-109	1	2012	6	27	PROF	12		17.51	8.54	8.67	418
NLA12_ID-109	1	2012	6	27	PROF	15		17.5	8.3	8.65	418
NLA12_ID-109	1	2012	6	27	PROF	11		17.52	8.58	8.69	418
NLA12_ID-109	1	2012	6	27	PROF	5		17.71	8.95	8.72	420
NLA12_ID-109	1	2012	6	27	PROF	14		17.51	8.44	8.66	418
NLA12_ID-109	1	2012	6	27	PROF	9		17.55	8.64	8.67	418
NLA12_ID-109	1	2012	6	27	PROF	3		17.72	9.08	8.73	420
NLA12_ID-111	1	2012	6	28	PROF						
					PROF						
					PROF	0.2		20.19	8.37	7.14	43.6
					PROF	1		20.17	8.43	7.11	43.7
					PROF	1.5		20.12	8.46	7.1	43.3
					PROF	0.5		20.18	8.36	7.1	43.4
					PROF	0.2		20.22	8.36	7.1	43.6
NLA12_VT-106	1	2012	7	2	PROF	1		24.13	7.91	6.98	30.2
NLA12_VT-106	1	2012	7	2	PROF	3.5		11.87	0.03	6.11	54.9
NLA12_VT-106	1	2012	7	2	PROF	0.2		24.16	8.08	6.89	30.5
NLA12_VT-106	1	2012	7	2	PROF						
NLA12_VT-106	1	2012	7	2	PROF	0.2		24.19	8.07	7.05	30.2
NLA12_VT-106	1	2012	7	2	PROF	2		18.89	5.52	6.27	29.8
NLA12_VT-106	1	2012	7	2	PROF	3		13.74	0.1	5.79	26.5
NLA12_WI-152	1	2012	7	2	PROF	3		26.2	10.1	8.6	478
NLA12_WI-152	1	2012	7	2	PROF	0		26.6	10	8.4	779
NLA12_WI-152	1	2012	7	2	PROF						
NLA12_WI-152	1	2012	7	2	PROF	1		26.4	10.1	8.5	479
NLA12_WI-152	1	2012	7	2	PROF	11		19.7	0.7	7.8	485
NLA12_WI-152	1	2012	7	2	PROF	9		23	4.5	8.1	483
NLA12_WI-152	1	2012	7	2	PROF	2		26.2	10.1	8.6	480
NLA12_WI-152	1	2012	7	2	PROF	6		24.4	8.1	8.4	480
NLA12_WI-152	1	2012	7	2	PROF	14	B	15.5	0.3	7.5	492
NLA12_WI-152	1	2012	7	2	PROF	12		17.2	0.3	7.7	486
NLA12_WI-152	1	2012	7	2	CALIB						
NLA12_WI-152	1	2012	7	2	PROF	7		23.9	7.5	8.3	481
NLA12_WI-152	1	2012	7	2	PROF	16.3		14.4	0.3	7.3	502
NLA12_WI-152	1	2012	7	2	PROF	13		16.3	0.3	7.6	488
NLA12_WI-152	1	2012	7	2	PROF	10	T	21.5	2.2	7.9	484
NLA12_WI-152	1	2012	7	2	PROF	5		24.7	9	8.5	479
NLA12_WI-152	1	2012	7	2	PROF	16		14.6	0.3	7.4	500
NLA12_WI-152	1	2012	7	2	PROF	15		15	0.3	7.4	496
NLA12_WI-152	1	2012	7	2	PROF	4		25.7	10.4	8.6	477
NLA12_WI-152	1	2012	7	2	PROF	8		23.5	6.1	8.2	482
					PROF						
					PROF	0.2		25.34	10.5	8.55	257.8
					PROF	0.5		24.79	10.32	8.53	258.2
					PROF	1		24.61	10.43	8.51	256.8
					PROF	1.5		24.41	9.7	8.42	257.4
					PROF	2		23.57	7.13	7.72	267.9
					PROF	0.2		25.17	10.65	8.58	256.8
NLA12_WI-113	1	2012	7	5	PROF	13		6	0.4	7.1	401
NLA12_WI-113	1	2012	7	5	PROF	10		6.7	0.8	7.2	385
NLA12_WI-113	1	2012	7	5	PROF	14.7		5.9	0.4	6.9	467
NLA12_WI-113	1	2012	7	5	CALIB						
NLA12_WI-113	1	2012	7	5	PROF	12		6.2	0.5	7.1	393
NLA12_WI-113	1	2012	7	5	PROF	1		28.8	10.8	8.8	276
NLA12_WI-113	1	2012	7	5	PROF	14		5.9	0.4	6.9	426
NLA12_WI-113	1	2012	7	5	PROF						
NLA12_WI-113	1	2012	7	5	PROF	11		6.4	0.6	7.2	390
NLA12_WI-113	1	2012	7	5	PROF	9		7.3	2.3	7.3	380
NLA12_WI-113	1	2012	7	5	PROF	0		29.3	10.8	8.9	276
NLA12_WI-113	1	2012	7	5	PROF	8		8.3	6.4	7.4	372
NLA12_WI-113	1	2012	7	5	PROF	4		19.4	19.5	8.4	319
NLA12_WI-113	1	2012	7	5	PROF	3		24	20.3	8.6	295
NLA12_WI-113	1	2012	7	5	PROF	7		9.7	7.5	7.6	370
NLA12_WI-113	1	2012	7	5	PROF	5		15.1	13	8.2	346
NLA12_WI-113	1	2012	7	5	PROF	6		11.9	8.5	7.8	360
NLA12_WI-113	1	2012	7	5	PROF	2		27.5	12.3	8.7	291
NLA12_MI-151	1	2012	7	9	CALIB						
NLA12_MI-151	1	2012	7	9	PROF	6		17.7	0.4	7.1	466
NLA12_MI-151	1	2012	7	9	PROF	0.5		29.2	11.3	9	451
NLA12_MI-151	1	2012	7	9	PROF						
NLA12_MI-151	1	2012	7	9	PROF	4	T	25.3	6.2	7.8	479
NLA12_MI-151	1	2012	7	9	PROF	1		29.2	11.2	9	451
NLA12_MI-151	1	2012	7	9	PROF	5		21.6	1.8	7.4	483
NLA12_MI-151	1	2012	7	9	PROF	3		28.6	10.3	8.8	452
NLA12_MI-151	1	2012	7	9	PROF	2		29.2	11.3	9	450
NLA12_WI-117	1	2012	7	10	PROF	3		28	1.7	7.4	254
NLA12_WI-117	1	2012	7	10	PROF	1		28.8	6.9	7.8	237
NLA12_WI-117	1	2012	7	10	PROF	4		23.7	0.5	7.2	246
NLA12_WI-117	1	2012	7	10	PROF	3.5		25.8	2.2	7.4	242
NLA12_WI-117	1	2012	7	10	PROF	2.5		28.5	4.5	7.7	238
NLA12_WI-117	1	2012	7	10	PROF	0.5		29	6.9	7.7	238
NLA12_WI-117	1	2012	7	10	PROF						
NLA12_WI-117	1	2012	7	10	PROF	0		29.1	6.9	7.7	238
NLA12_WI-117	1	2012	7	10	PROF	1.5		28.8	6.9	7.7	237
NLA12_WI-117	1	2012	7	10	PROF	2		28.8	7	7.9	236
					PROF						
					PROF	0.2		23.29	8.94	8.19	211.5
					PROF	1		22.87	8.95	8.14	211.4
					PROF	2		22.72	8.9	8.1	212.3
					PROF	3		22.44	8.77	8.04	216.6
					PROF	4		21.82	8.14	7.89	220.1
					PROF	5		20.51	3.32	7.41	233.2
					PROF	5.5		19.9	1.56	7.3	239.3
					PROF	0.2		23.42	8.89	8.17	211.3
NLA12_MI-139	1	2012	7	10	PROF	5	T	8.6	0.6	6.9	368
NLA12_MI-139	1	2012	7	10	PROF	2		26.5	7.8	8.2	476
NLA12_MI-139	1	2012	7	10	PROF	0.5		27.9	7.8	8.4	489
NLA12_MI-139	1	2012	7	10	CALIB						
NLA12_MI-139	1	2012	7	10	PROF						
NLA12_MI-139	1	2012	7	10	PROF	6		7.7	0.7	6.7	387
NLA12_MI-139	1	2012	7	10	PROF	1		27.9	7.8	8.4	488
NLA12_MI-139	1	2012	7	10	PROF	6.5		7.6	0.7	6.7	394
NLA12_MI-139	1	2012	7	10	PROF	4		11.6	0.6	7.1	360
NLA12_MI-139	1	2012	7	10	PROF	3		19.2	1.6	7.5	414
NLA12_MI-124	1	2012	7	10	PROF	1.5		28.1	7.5	8.3	255
NLA12_MI-124	1	2012	7	10	PROF						
NLA12_MI-124	1	2012	7	10	PROF	2		27.7	7.8	8.3	255
NLA12_MI-124	1	2012	7	10	PROF			28.9		8.4	254
NLA12_MI-124	1	2012	7	10	PROF	0.1		28.9	8.2	8.4	254
NLA12_MI-124	1	2012	7	10	PROF	0.5		28.8	8.2	8.5	254
NLA12_MI-124	1	2012	7	10	PROF	2.5		27.5	7.8	8.3	255
NLA12_MI-124	1	2012	7	10	CALIB						
NLA12_MI-124	1	2012	7	10	PROF	0.1		28.9	8.7	8.4	254
NLA12_MI-124	1	2012	7	10	PROF	1		28.2	7.7	8.4	255
NLA12_TX-117	2	2012	7	10	PROF	0.5		29	2.1	7.7	108
NLA12_TX-117	2	2012	7	10	PROF	2.5		28.5	1.4	7.5	110
NLA12_TX-117	2	2012	7	10	PROF						
NLA12_TX-117	2	2012	7	10	CALIB						
NLA12_TX-117	2	2012	7	10	PROF	1		29	1.7	7.6	108
NLA12_TX-117	2	2012	7	10	PROF	0		29.1	1	7.8	108
NLA12_TX-117	2	2012	7	10	PROF	1.5		28.7	1.4	7.6	109
NLA12_TX-117	2	2012	7	10	PROF	0		29.2	1.2	7.8	107
NLA12_TX-117	2	2012	7	10	PROF	2		28.7	1.4	7.5	109
NLA12_TX-117	2	2012	7	10	PROF			29.2		7.8	107
NLA12_OR-106	1	2012	7	10	PROF	0.5		12.9	11.2	7.6	48
NLA12_OR-106	1	2012	7	10	PROF	16		9.1	11.5	8.1	48
NLA12_OR-106	1	2012	7	10	PROF	10		9.3	11.4	8.1	49
NLA12_OR-106	1	2012	7	10	PROF	18		9	11.6	8.2	48
NLA12_OR-106	1	2012	7	10	PROF						
NLA12_OR-106	1	2012	7	10	PROF	24		8.5	11.5	8.2	47
NLA12_OR-106	1	2012	7	10	CALIB						
NLA12_OR-106	1	2012	7	10	PROF	18		9.1	11.6	8.2	48
NLA12_OR-106	1	2012	7	10	PROF	6		9.5	11.6	8	48
NLA12_OR-106	1	2012	7	10	PROF	7		9.5	11.5	7.6	49
NLA12_OR-106	1	2012	7	10	PROF	3		9.8	11.7	7.2	48
NLA12_OR-106	1	2012	7	10	PROF	9		9.4	11.4	8	49
NLA12_OR-106	1	2012	7	10	PROF	14		9.2	11.4	8.2	49
NLA12_OR-106	1	2012	7	10	PROF	11		9.3	11.4	8.4	49
NLA12_OR-106	1	2012	7	10	PROF	19		9	11.5	8.2	48
NLA12_OR-106	1	2012	7	10	PROF	2		10.7	11.6	7.5	48
NLA12_OR-106	1	2012	7	10	PROF	5		9.6	11.7	8	48
NLA12_OR-106	1	2012	7	10	PROF	4		9.7	11.7	7.9	48
NLA12_OR-106	1	2012	7	10	PROF	30		7.8	11.3	8.2	46
NLA12_OR-106	1	2012	7	10	PROF	12		9.2	11.4	8.3	49
NLA12_OR-106	1	2012	7	10	PROF			12.9		8.4	48
NLA12_OR-106	1	2012	7	10	PROF	15		9.2	11.4	8.1	49
NLA12_OR-106	1	2012	7	10	PROF	8		9.4	11.4	7.9	49
NLA12_OR-106	1	2012	7	10	PROF	22		8.7	11.5	8.2	47
NLA12_OR-106	1	2012	7	10	PROF	26		8.3	11.5	8.2	47
NLA12_OR-106	1	2012	7	10	PROF	1		11.8	11.4	7.6	48
NLA12_OR-106	1	2012	7	10	PROF	20		8.9	11.5	8.4	48
NLA12_OR-106	1	2012	7	10	PROF	0.5		12.9	11.3	8.4	48
NLA12_OR-106	1	2012	7	10	PROF	28		8	11.4	8.2	47
NLA12_OR-106	1	2012	7	10	PROF	13		9.2	11.4	8.3	49
NLA12_WI-136	1	2012	7	11	PROF	2		28.4	8.7	8.7	606
NLA12_WI-136	1	2012	7	11	CALIB						
NLA12_WI-136	1	2012	7	11	PROF	1		28.6	8.4	8.6	607
NLA12_WI-136	1	2012	7	11	PROF	1.5		28.6	8.4	8.6	606
NLA12_WI-136	1	2012	7	11	PROF	0		28.7	8.3	8.5	607
NLA12_WI-136	1	2012	7	11	PROF						
NLA12_WI-136	1	2012	7	11	PROF	2.5		28	8.6	8.6	606
NLA12_WI-136	1	2012	7	11	PROF	0.5		28.6	8.3	8.6	607
					PROF						
					PROF	0.2		26.09	7.3	6.65	53.7
					PROF	1		25.24	7.22	6.59	53.8
					PROF	2		23.66	6.8	6.43	53.2
					PROF	2.5		23.1	4.03	5.96	55.1
					PROF			23.1		5.96	55.1
NLA12_MI-109	1	2012	7	11	PROF	8	T	11.9	0.4	7.3	502
NLA12_MI-109	1	2012	7	11	PROF	5		16.3	0.4	7.3	513
NLA12_MI-109	1	2012	7	11	PROF	9		11.3	0.3	7.2	504
NLA12_MI-109	1	2012	7	11	PROF	6		14.5	0.3	7.3	513
NLA12_MI-109	1	2012	7	11	PROF	2		27.2	10.8	8.2	564
NLA12_MI-109	1	2012	7	11	PROF						
NLA12_MI-109	1	2012	7	11	PROF	3		25.6	1.4	7.4	600
NLA12_MI-109	1	2012	7	11	PROF	1		27.2	10.8	8.2	564
NLA12_MI-109	1	2012	7	11	PROF	7		12.9	0.4	7.3	502
NLA12_MI-109	1	2012	7	11	PROF	4		20.1	0.4	7.4	531
NLA12_MI-109	1	2012	7	11	PROF	0.5		27.2	10.8	8.2	565
NLA12_MI-109	1	2012	7	11	CALIB						
NLA12_TX-109	1	2012	7	11	PROF	0.5		30.8	4.9	7.8	179
NLA12_TX-109	1	2012	7	11	CALIB						
NLA12_TX-109	1	2012	7	11	PROF	0		30.8	4.8	7.8	178
NLA12_TX-109	1	2012	7	11	PROF			30.8		7.7	178
NLA12_TX-109	1	2012	7	11	PROF	1		30.8	5.2	7.8	178
NLA12_TX-109	1	2012	7	11	PROF						
NLA12_TX-109	1	2012	7	11	PROF	2		30.5	4.7	7.7	178
NLA12_TX-109	1	2012	7	11	PROF	1.5		30.6	5.3	7.8	178
NLA12_TX-109	1	2012	7	11	PROF	0		30.8	4.9	7.7	178
NLA12_VT-109	1	2012	7	12	PROF	1		24.09	7.74	6.54	24
NLA12_VT-109	1	2012	7	12	PROF	0.2		25.75	7.67	6.41	24.4
NLA12_VT-109	1	2012	7	12	PROF	0.2		25.73	7.66	6.57	24.1
