"SITE_ID"	"VISIT_NO"	"DEPTH"	"YEAR"	"MONTH"	"DAY"	"TEMP_FIELD"	"DO_FIELD"	"PH_FIELD"	"COND_FIELD"	"LAYER"
"1"	"NLA06608-0001"	"1"	0	2007	7	31	16.3	8.3	8.1	150	"E"
"2"	"NLA06608-0001"	"1"	1	2007	7	31	16.3	8.2	8.2	153	"E"
"3"	"NLA06608-0001"	"1"	2	2007	7	31	16.3	8.2	8.2	153	"E"
"4"	"NLA06608-0001"	"1"	3	2007	7	31	16.3	8.2	8.2	153	"E"
"5"	"NLA06608-0001"	"1"	4	2007	7	31	16.3	8.2	8.2	153	"E"
"6"	"NLA06608-0001"	"1"	5	2007	7	31	16.3	8.2	8.2	153	"E"
"7"	"NLA06608-0001"	"1"	6	2007	7	31	16.1	8.6	8.2	153	"E"
"8"	"NLA06608-0001"	"1"	7	2007	7	31	10.7	10.8	8.4	144	"E"
"9"	"NLA06608-0001"	"1"	8	2007	7	31	10.2	11	8.4	143	"E"
"10"	"NLA06608-0002"	"1"	0	2007	6	14	29.19	NA	5.5	52.9	"E"
"11"	"NLA06608-0002"	"1"	0.5	2007	6	14	24	NA	5.3	46.7	"E"
"12"	"NLA06608-0002"	"1"	1	2007	6	14	21.9	NA	5.5	62	"E"
"13"	"NLA06608-0002"	"1"	1.5	2007	6	14	18.8	NA	5.6	72.3	"E"
"14"	"NLA06608-0002"	"1"	1.9	2007	6	14	17.2	NA	5.7	76.8	"E"
"15"	"NLA06608-0002"	"2"	0	2007	7	23	25.6	NA	5.1	43.5	"E"
"16"	"NLA06608-0002"	"2"	0.5	2007	7	23	25	NA	5.1	42.9	"E"
"17"	"NLA06608-0002"	"2"	0.8	2007	7	23	23.9	NA	5	51.7	"E"
"18"	"NLA06608-0003"	"1"	0	2007	8	29	30.6	8.3	8.4	1132	"E"
"19"	"NLA06608-0003"	"1"	0.5	2007	8	29	30.3	8.2	8.4	1134	"E"
"20"	"NLA06608-0003"	"1"	1	2007	8	29	29.9	7.8	8.4	1128	"E"
